# source: Table of dates 172–221 B.E. accompanying implementation guidance for the Badí‘ calendar
# publisher: Universal House of Justice / National Spiritual Assembly of the Bahá’ís of New Zealand
# url: https://guidelines.bahai.org.nz/wp-content/uploads/2022/07/GLSA-08-Holy-Days.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only
# notes: 550 rows. Naw-Rúz and Twin Birthdays are transcribed from the 50-year table. The other eight holy days use the source’s own conditional date table (20-March versus 21-March Naw-Rúz); no astronomical generation was performed.
# verification: bodu 2026-08-03 — 550 rows = 50 years x 11 ids; fixed holy days at uniform Badi offsets from Naw-Ruz (+31/+39/+42/+64/+69/+111/+250/+252); Naw-Ruz always 20/21 Mar; Twin Birthdays consecutive within 14 Oct-14 Nov; Birth of the Bab within 1 day of (8th new moon after Naw-Ruz, Tehran) + 1 day for all 50 years (tools/verify-bahai-poya-vectors.py); matches the committed 2025 exact and 2026 (183 B.E.) test anchors 7/7.
# columns: be_year,gregorian_year,holy_day_id,gregorian_date
be_year,gregorian_year,holy_day_id,gregorian_date
190,2033,ninth-day-of-ridvan,2033-04-28
190,2033,twelfth-day-of-ridvan,2033-05-01
190,2033,declaration-of-the-bab,2033-05-23
190,2033,ascension-of-bahaullah,2033-05-28
190,2033,martyrdom-of-the-bab,2033-07-09
190,2033,day-of-the-covenant,2033-11-25
190,2033,ascension-of-abdul-baha,2033-11-27
190,2033,birth-of-the-bab,2033-10-24
190,2033,birth-of-bahaullah,2033-10-25
191,2034,naw-ruz,2034-03-20
191,2034,first-day-of-ridvan,2034-04-20
191,2034,ninth-day-of-ridvan,2034-04-28
191,2034,twelfth-day-of-ridvan,2034-05-01
191,2034,declaration-of-the-bab,2034-05-23
191,2034,ascension-of-bahaullah,2034-05-28
191,2034,martyrdom-of-the-bab,2034-07-09
191,2034,day-of-the-covenant,2034-11-25
191,2034,ascension-of-abdul-baha,2034-11-27
191,2034,birth-of-the-bab,2034-11-12
191,2034,birth-of-bahaullah,2034-11-13
192,2035,naw-ruz,2035-03-21
192,2035,first-day-of-ridvan,2035-04-21
192,2035,ninth-day-of-ridvan,2035-04-29
192,2035,twelfth-day-of-ridvan,2035-05-02
192,2035,declaration-of-the-bab,2035-05-24
192,2035,ascension-of-bahaullah,2035-05-29
192,2035,martyrdom-of-the-bab,2035-07-10
192,2035,day-of-the-covenant,2035-11-26
192,2035,ascension-of-abdul-baha,2035-11-28
192,2035,birth-of-the-bab,2035-11-01
192,2035,birth-of-bahaullah,2035-11-02
193,2036,naw-ruz,2036-03-20
193,2036,first-day-of-ridvan,2036-04-20
193,2036,ninth-day-of-ridvan,2036-04-28
193,2036,twelfth-day-of-ridvan,2036-05-01
193,2036,declaration-of-the-bab,2036-05-23
193,2036,ascension-of-bahaullah,2036-05-28
193,2036,martyrdom-of-the-bab,2036-07-09
193,2036,day-of-the-covenant,2036-11-25
193,2036,ascension-of-abdul-baha,2036-11-27
193,2036,birth-of-the-bab,2036-10-20
193,2036,birth-of-bahaullah,2036-10-21
194,2037,naw-ruz,2037-03-20
194,2037,first-day-of-ridvan,2037-04-20
194,2037,ninth-day-of-ridvan,2037-04-28
194,2037,twelfth-day-of-ridvan,2037-05-01
194,2037,declaration-of-the-bab,2037-05-23
194,2037,ascension-of-bahaullah,2037-05-28
194,2037,martyrdom-of-the-bab,2037-07-09
194,2037,day-of-the-covenant,2037-11-25
194,2037,ascension-of-abdul-baha,2037-11-27
194,2037,birth-of-the-bab,2037-11-08
194,2037,birth-of-bahaullah,2037-11-09
195,2038,naw-ruz,2038-03-20
195,2038,first-day-of-ridvan,2038-04-20
195,2038,ninth-day-of-ridvan,2038-04-28
195,2038,twelfth-day-of-ridvan,2038-05-01
195,2038,declaration-of-the-bab,2038-05-23
195,2038,ascension-of-bahaullah,2038-05-28
195,2038,martyrdom-of-the-bab,2038-07-09
195,2038,day-of-the-covenant,2038-11-25
195,2038,ascension-of-abdul-baha,2038-11-27
195,2038,birth-of-the-bab,2038-10-29
195,2038,birth-of-bahaullah,2038-10-30
196,2039,naw-ruz,2039-03-21
196,2039,first-day-of-ridvan,2039-04-21
196,2039,ninth-day-of-ridvan,2039-04-29
196,2039,twelfth-day-of-ridvan,2039-05-02
196,2039,declaration-of-the-bab,2039-05-24
196,2039,ascension-of-bahaullah,2039-05-29
196,2039,martyrdom-of-the-bab,2039-07-10
196,2039,day-of-the-covenant,2039-11-26
196,2039,ascension-of-abdul-baha,2039-11-28
196,2039,birth-of-the-bab,2039-10-19
196,2039,birth-of-bahaullah,2039-10-20
197,2040,naw-ruz,2040-03-20
197,2040,first-day-of-ridvan,2040-04-20
197,2040,ninth-day-of-ridvan,2040-04-28
197,2040,twelfth-day-of-ridvan,2040-05-01
197,2040,declaration-of-the-bab,2040-05-23
197,2040,ascension-of-bahaullah,2040-05-28
197,2040,martyrdom-of-the-bab,2040-07-09
197,2040,day-of-the-covenant,2040-11-25
197,2040,ascension-of-abdul-baha,2040-11-27
197,2040,birth-of-the-bab,2040-11-06
197,2040,birth-of-bahaullah,2040-11-07
198,2041,naw-ruz,2041-03-20
198,2041,first-day-of-ridvan,2041-04-20
198,2041,ninth-day-of-ridvan,2041-04-28
198,2041,twelfth-day-of-ridvan,2041-05-01
198,2041,declaration-of-the-bab,2041-05-23
198,2041,ascension-of-bahaullah,2041-05-28
198,2041,martyrdom-of-the-bab,2041-07-09
198,2041,day-of-the-covenant,2041-11-25
198,2041,ascension-of-abdul-baha,2041-11-27
198,2041,birth-of-the-bab,2041-10-26
198,2041,birth-of-bahaullah,2041-10-27
199,2042,naw-ruz,2042-03-20
199,2042,first-day-of-ridvan,2042-04-20
199,2042,ninth-day-of-ridvan,2042-04-28
199,2042,twelfth-day-of-ridvan,2042-05-01
199,2042,declaration-of-the-bab,2042-05-23
199,2042,ascension-of-bahaullah,2042-05-28
199,2042,martyrdom-of-the-bab,2042-07-09
199,2042,day-of-the-covenant,2042-11-25
199,2042,ascension-of-abdul-baha,2042-11-27
199,2042,birth-of-the-bab,2042-10-15
199,2042,birth-of-bahaullah,2042-10-16
200,2043,naw-ruz,2043-03-21
200,2043,first-day-of-ridvan,2043-04-21
200,2043,ninth-day-of-ridvan,2043-04-29
200,2043,twelfth-day-of-ridvan,2043-05-02
200,2043,declaration-of-the-bab,2043-05-24
200,2043,ascension-of-bahaullah,2043-05-29
200,2043,martyrdom-of-the-bab,2043-07-10
200,2043,day-of-the-covenant,2043-11-26
200,2043,ascension-of-abdul-baha,2043-11-28
200,2043,birth-of-the-bab,2043-11-03
200,2043,birth-of-bahaullah,2043-11-04
201,2044,naw-ruz,2044-03-20
201,2044,first-day-of-ridvan,2044-04-20
201,2044,ninth-day-of-ridvan,2044-04-28
201,2044,twelfth-day-of-ridvan,2044-05-01
201,2044,declaration-of-the-bab,2044-05-23
201,2044,ascension-of-bahaullah,2044-05-28
201,2044,martyrdom-of-the-bab,2044-07-09
201,2044,day-of-the-covenant,2044-11-25
201,2044,ascension-of-abdul-baha,2044-11-27
201,2044,birth-of-the-bab,2044-10-22
201,2044,birth-of-bahaullah,2044-10-23
202,2045,naw-ruz,2045-03-20
202,2045,first-day-of-ridvan,2045-04-20
202,2045,ninth-day-of-ridvan,2045-04-28
202,2045,twelfth-day-of-ridvan,2045-05-01
202,2045,declaration-of-the-bab,2045-05-23
202,2045,ascension-of-bahaullah,2045-05-28
202,2045,martyrdom-of-the-bab,2045-07-09
202,2045,day-of-the-covenant,2045-11-25
202,2045,ascension-of-abdul-baha,2045-11-27
202,2045,birth-of-the-bab,2045-11-10
202,2045,birth-of-bahaullah,2045-11-11
203,2046,naw-ruz,2046-03-20
203,2046,first-day-of-ridvan,2046-04-20
203,2046,ninth-day-of-ridvan,2046-04-28
203,2046,twelfth-day-of-ridvan,2046-05-01
203,2046,declaration-of-the-bab,2046-05-23
203,2046,ascension-of-bahaullah,2046-05-28
203,2046,martyrdom-of-the-bab,2046-07-09
203,2046,day-of-the-covenant,2046-11-25
203,2046,ascension-of-abdul-baha,2046-11-27
203,2046,birth-of-the-bab,2046-10-30
203,2046,birth-of-bahaullah,2046-10-31
204,2047,naw-ruz,2047-03-21
204,2047,first-day-of-ridvan,2047-04-21
204,2047,ninth-day-of-ridvan,2047-04-29
204,2047,twelfth-day-of-ridvan,2047-05-02
204,2047,declaration-of-the-bab,2047-05-24
204,2047,ascension-of-bahaullah,2047-05-29
204,2047,martyrdom-of-the-bab,2047-07-10
204,2047,day-of-the-covenant,2047-11-26
204,2047,ascension-of-abdul-baha,2047-11-28
204,2047,birth-of-the-bab,2047-10-20
204,2047,birth-of-bahaullah,2047-10-21
205,2048,naw-ruz,2048-03-20
205,2048,first-day-of-ridvan,2048-04-20
205,2048,ninth-day-of-ridvan,2048-04-28
205,2048,twelfth-day-of-ridvan,2048-05-01
205,2048,declaration-of-the-bab,2048-05-23
205,2048,ascension-of-bahaullah,2048-05-28
205,2048,martyrdom-of-the-bab,2048-07-09
205,2048,day-of-the-covenant,2048-11-25
205,2048,ascension-of-abdul-baha,2048-11-27
205,2048,birth-of-the-bab,2048-11-07
205,2048,birth-of-bahaullah,2048-11-08
206,2049,naw-ruz,2049-03-20
206,2049,first-day-of-ridvan,2049-04-20
206,2049,ninth-day-of-ridvan,2049-04-28
206,2049,twelfth-day-of-ridvan,2049-05-01
206,2049,declaration-of-the-bab,2049-05-23
206,2049,ascension-of-bahaullah,2049-05-28
206,2049,martyrdom-of-the-bab,2049-07-09
206,2049,day-of-the-covenant,2049-11-25
206,2049,ascension-of-abdul-baha,2049-11-27
206,2049,birth-of-the-bab,2049-10-28
206,2049,birth-of-bahaullah,2049-10-29
207,2050,naw-ruz,2050-03-20
207,2050,first-day-of-ridvan,2050-04-20
207,2050,ninth-day-of-ridvan,2050-04-28
207,2050,twelfth-day-of-ridvan,2050-05-01
207,2050,declaration-of-the-bab,2050-05-23
207,2050,ascension-of-bahaullah,2050-05-28
207,2050,martyrdom-of-the-bab,2050-07-09
207,2050,day-of-the-covenant,2050-11-25
207,2050,ascension-of-abdul-baha,2050-11-27
207,2050,birth-of-the-bab,2050-10-17
207,2050,birth-of-bahaullah,2050-10-18
208,2051,naw-ruz,2051-03-21
208,2051,first-day-of-ridvan,2051-04-21
208,2051,ninth-day-of-ridvan,2051-04-29
208,2051,twelfth-day-of-ridvan,2051-05-02
208,2051,declaration-of-the-bab,2051-05-24
208,2051,ascension-of-bahaullah,2051-05-29
208,2051,martyrdom-of-the-bab,2051-07-10
208,2051,day-of-the-covenant,2051-11-26
208,2051,ascension-of-abdul-baha,2051-11-28
208,2051,birth-of-the-bab,2051-11-05
208,2051,birth-of-bahaullah,2051-11-06
209,2052,naw-ruz,2052-03-20
209,2052,first-day-of-ridvan,2052-04-20
209,2052,ninth-day-of-ridvan,2052-04-28
209,2052,twelfth-day-of-ridvan,2052-05-01
209,2052,declaration-of-the-bab,2052-05-23
209,2052,ascension-of-bahaullah,2052-05-28
209,2052,martyrdom-of-the-bab,2052-07-09
209,2052,day-of-the-covenant,2052-11-25
209,2052,ascension-of-abdul-baha,2052-11-27
209,2052,birth-of-the-bab,2052-10-24
